,"P. ardens","P. awbalus","P. khor","P. zelliger","P. sarabus","P. houbaraensis","P. yemenensis"
"Length:2-4mm;",0,0,0,0,0,0,0
"Length:small, 2-3mm;",0,0,0,0,0,0,0
"Length:2-3.5mm;",0,0,0,0,0,0,0
"Length:2-3.5mm, most approx. 3mm;",0,0,0,0,0,0,0
"Length:small, from 2.5 to 3mm;",0,0,0,0,0,0,0
"Length:large, 3-4mm, most >3.5mm;",0,0,0,0,0,0,0
"Length:3-4mm;",0,0,0,0,0,0,0
"Length:3-3.5mm;",0,0,0,0,0,0,0
"Length:large, 3.5-4.5mm;",0,0,0,0,0,0,0
"Length:large, about 3.5mm;",0,0,0,0,0,0,0
"Length:2.5-3.5mm;",0,0,0,0,0,0,0
"Length:2-5mm, most >3-4mm;",0,0,0,0,0,0,0
"Length:approx. 2mm - 2.5mm (HT about 2.5mm).",1,0,0,0,0,0,0
"Length:approx. 2.5mm (HT about 2.5mm).",0,1,0,0,0,0,0
"Length:approx. 1.2 - 2.2mm (HT about 1.7mm).",0,0,0,0,0,1,0
"Length:approx. 1.8 - 2.2mm (HT about 2.1mm).",0,0,0,0,0,0,1
"Length:approx. 1.2 mm (HT about 1.2mm).",0,0,0,0,1,0,0
"Length:approx. 2.2-2.7mm (HT about 2.3mm).",0,0,0,1,0,0,0
"Length:approx. 2.3 - 2.4mm (HT about 2.2mm).",0,0,1,0,0,0,0
"Color:black, with iridescent reflections on hind femur and tibia;",0,0,0,0,0,0,0
"Color:black, with iridescent reflections on hind femur and tibia, gaster chestnut brown to black;",0,0,0,0,0,0,0
"Color:black, with iridescent reflections on hind femur and tibia, some specimens with bronzy sheen;",0,0,0,0,0,0,0
"Color:black, without iridescent reflections;",0,0,0,0,0,0,0
"Color:black, with weakly iridescent blue tinge on scutellum and rarely on mesoscutum;",0,0,0,0,0,0,0
"Color:black, without iridescent reflections, gaster chestnut brown to black;",0,0,0,0,0,0,0
"Color:head iridescent green with gold tinge, meososoma blue-green, metasoma brown with strong blue-green reflections;",1,0,0,0,0,0,0
"Color:iridescent, head, pronotum, prepectus, and lateral sides of lateral lobes of mesoscutum gold and red, mesonotum red and black, rest of thorax blue-green or violet, metasoma gold-green;",0,0,0,0,0,0,0
"Color:black, scutellum with blue iridescent reflections;",0,0,0,0,0,0,1
"Color:black, without iridescent reflections, or mesonotum with bronze or blue iridescent reflections, metasoma black or brown;",0,0,0,0,0,1,0
"Color:black, mesonotum black with weak bronze reflections, metasoma black;",0,0,0,1,0,0,0
"Color:black, mesonotum with iridescent blue reflections;",0,0,0,0,1,0,0
"Color:head black with weak gold or green tinge, mesonotum iridiscent bronze with red and green tinge, metasoma black or brown;",0,0,1,0,0,0,0
"Color:cupreous, except: mesonotum red and black, pleurons blue-violet, lateral lobes along notauli blue-green;",0,1,0,0,0,0,0
